id,lat,lon,status
kauai_EK,22.3266667,-159.4916667,
kauai_Z,21.875,-159.3083333,
kauai_AA,21.8216667,-159.61,
kauai_BB,22.2266667,-159.2316667,
kauai_CK,21.8066667,-159.3583333,
kauai_DK,22.125,-159.2283333,
kauai_PP,21.795,-159.57,
kauai_WK,22.0216667,-159.215,
kauai_KK,21.865,-159.7316667,
oahu_J,21.8333333,-158.1466667,
oahu_P,20.7733333,-157.8116667,
oahu_R,21.4583333,-158.2816667,
oahu_S,21.3966667,-158.2466667,
oahu_T,21.5033333,-157.43,
oahu_U,21.5816667,-157.6916667,
oahu_V,21.5383333,-158.3133333,
oahu_X,21.8633333,-157.9933333,
oahu_CO,21.5616667,-158.4466667,missing
oahu_HH,21.035,-158.035,
oahu_II,21.7466667,-158.2216667,
oahu_LL,21.7483333,-157.755,
oahu_MM,21.6066667,-157.52,missing
oahu_BO,21.15,-158.1516667,
maui_GG,20.5333333,-156.2666667,
maui_JJ,20.4033333,-156.6333333,
lanai_K,20.6683333,-157.0433333,
lanai_CC,20.9216667,-157.1666667,
lanai_MC,20.5983333,-157.1416667,
maui_M,20.7483333,-155.8416667,missing
maui_Q,21.1416667,-156.1283333,missing
maui_DD,21.035,-156.2566667,missing
maui_FF,20.8353333,-155.7316667,missing
maui_HO,20.94,-156.0133333,missing
maui_LA,20.6833333,-156.7083333,missing
maui_NL,20.5483333,-156.1583333,
molokai_N,21.3483333,-156.5833333,
maui_HS,20.45,-156.485,missing
maui_SO,20.5233333,-156.8716667,missing
hawaii_A,18.9558333,-155.5566667,missing
hawaii_B,19.1983333,-155.9483333,
hawaii_C,19.385,-155.9866667,
hawaii_D,19.625,-154.7783333,missing
hawaii_E,19.7683333,-154.9133333,missing
hawaii_F,19.5066667,-156.1566667,missing
hawaii_G,19.8533333,-154.9066667,missing
hawaii_SS,19.1133333,-155.2416667,missing
hawaii_TT,19.0766667,-155.9566667,
hawaii_UU,19.28,-155.9516667,
hawaii_VV,19.585,-156.0316667,
hawaii_XX,20.0366667,-156.1033333,missing
hawaii_OT,19.8766667,-156.1933333,missing
hawaii_KH,19.3483333,-154.88,missing
hawaii_RN,19.13,-155.3916667,
hawaii_ZZ,20.1583333,-155.9583333,missing
hawaii_HK,19.9766667,-154.9833333,
