lat,lon,fishing hours
-79,-164,0.0
-79,-162,0.0
-79,-159,24.062222222222225
-78,-180,123.64166666666672
-78,-179,134.7176388888889
-78,-178,139.74930555555545
-78,-177,103.99416666666667
-78,-176,1.5847222222222221
-78,-175,1.551388888888889
-78,-174,0.0
-78,-173,0.0
-78,-172,0.0
-78,-164,0.0
-78,-162,0.0
-78,-159,0.0
-78,165,2.400138888888889
-78,166,1.5081944444444444
-78,167,0.0
-78,170,367.40513888888904
-78,171,164.3029166666666
-78,172,95.10847222222215
-78,173,58.870555555555455
-78,174,21.361666666666668
-78,175,29.99763888888889
-78,176,79.7948611111111
-78,177,88.05472222222224
-78,178,53.953611111111115
-78,179,58.57513888888877
-77,-180,25.60763888888889
-77,-179,6.28375
-77,-178,1.5459722222222223
-77,-177,3.080277777777778
-77,-176,5.5175
-77,-175,3.923611111111111
-77,-174,7.840416666666666
-77,-173,4.5975
-77,-172,1.5441666666666667
-77,-171,14.506249999999998
-77,-170,0.0
-77,-169,0.0
-77,-168,0.0
-77,-166,0.0
-77,-164,0.0
-77,-163,0.0
-77,-162,0.0
-77,-161,0.0
-77,-160,0.0
-77,-159,0.0
-77,-158,0.0
-77,-47,0.0
-77,165,2.2556944444444444
-77,166,0.0
-77,167,0.0
-77,168,0.0
-77,169,0.0
-77,170,66.40930555555555
-77,171,56.69638888888889
-77,172,16.375972222222224
-77,173,0.0
-77,174,0.0
-77,175,0.0
-77,176,0.0
-77,179,0.0
-76,-180,0.0
-76,-179,4.693888888888889
-76,-178,4.569861111111111
-76,-177,8.364305555555562
-76,-176,122.57111111111091
-76,-175,157.23736111111077
-76,-174,66.72972222222224
-76,-173,97.43861111111111
-76,-172,94.71055555555553
-76,-171,8.604027777777778
-76,-170,1.5445833333333332
-76,-169,1.5416666666666665
-76,-168,0.0
-76,-167,0.0
-76,-166,0.0
-76,-165,0.0
-76,-164,0.0
-76,-163,0.0
-76,-162,0.0
-76,-161,0.0
-76,-160,0.0
-76,-159,0.0
-76,-158,0.0
-76,-157,0.0
-76,-156,0.0
-76,-155,0.0
-76,-71,0.0
-76,112,0.0
-76,163,4.605833333333333
-76,164,20.23055555555555
-76,165,18.58625
-76,166,9.397083333333335
-76,167,0.0
-76,169,7.11513888888889
-76,170,0.0
-76,171,0.0
-76,172,0.0
-76,173,0.0
-76,176,0.0
-76,177,0.0
-76,178,0.0
-76,179,0.0
-75,-180,1.547361111111111
-75,-179,3.111944444444445
-75,-178,17.289583333333294
-75,-177,184.14111111110518
-75,-176,0.1141666666666667
-75,-175,1.6155555555555552
-75,-173,1.623888888888889
-75,-172,17.03638888888889
-75,-171,3.0858333333333334
-75,-169,3.956666666666667
-75,-162,0.0
-75,-161,0.0
-75,-160,4.737916666666667
-75,-159,0.0
-75,-158,0.0
-75,-157,0.0
-75,-156,0.0
-75,-155,0.0
-75,-154,0.0
-75,-140,24.95791666666667
-75,-139,13.009861111111112
-75,-136,0.0
-75,-119,0.0
-75,-116,31.474861111110858
-75,164,27.039722222222228
-75,165,34.35680555555556
-75,166,10.798333333333334
-75,167,17.724305555555556
-75,168,2.362916666666667
-75,169,23.173055555555553
-75,170,0.0
-75,171,0.0
-75,172,0.0
-75,174,0.0
-75,177,0.0
-75,178,0.0
-75,179,0.0
-74,-180,4.979305555555557
-74,-179,2.383194444444455
-74,-178,0.0
-74,-175,4.148333333333343
-74,-174,4.004722222222224
-74,-171,3.1500000000000004
-74,-170,7.014583333333333
-74,-169,47.83347222222221
-74,-164,0.0
-74,-162,0.0
-74,-161,4.765
-74,-160,0.0
-74,-159,3.827777777777778
-74,-158,0.0
-74,-157,7.248194444444445
-74,-156,11.862222222222224
-74,-155,3.0263888888888886
-74,-154,0.0
-74,-153,0.0
-74,-152,0.0
-74,-151,1.4579166666666667
-74,-150,5.3398611111111105
-74,-149,0.0
-74,-148,0.0
